418.416,6.99561
424.043,6.66750
429.457,6.42408
434.686,6.25124
439.757,6.13485
444.699,6.06076
449.539,6.01486
454.306,5.98302
459.031,5.95232
463.730,5.91990
468.411,5.88775
473.080,5.85790
477.744,5.83239
482.411,5.81325
487.087,5.80250
491.780,5.80220
496.497,5.81407
501.243,5.83751
506.020,5.87076
510.828,5.91208
515.672,5.95969
520.550,6.01183
525.467,6.06674
530.424,6.12279
535.422,6.17940
540.463,6.23648
545.551,6.29397
550.687,6.35179
555.873,6.40987
561.112,6.46815
566.405,6.52654
571.756,6.58497
577.166,6.64338
582.636,6.70177
588.171,6.76072
593.773,6.82113
599.446,6.88388
605.193,6.94987
611.017,7.01999
616.923,7.09511
622.920,7.17533
628.987,7.25495
635.112,7.33145
641.294,7.40537
647.537,7.47729
653.841,7.54777
660.207,7.61738
666.637,7.68669
673.131,7.75628
679.691,7.82670
686.319,7.89853
693.014,7.97235
699.780,8.04871
706.617,8.12810
713.524,8.21020
720.501,8.29433
727.545,8.37980
734.654,8.46592
741.826,8.55200
749.060,8.63735
756.353,8.72128
763.703,8.80311
771.108,8.88214
778.567,8.95779
786.078,9.03034
793.639,9.10050
801.248,9.16897
808.905,9.23646
816.608,9.30368
824.355,9.37133
832.145,9.44012
839.976,9.51076
847.847,9.58396
855.757,9.66032
863.703,9.73971
871.683,9.82161
879.692,9.90551
887.729,9.99089
895.789,10.07720
901.962,9.17725
903.870,10.16400
911.572,9.31901
911.968,10.25080
920.080,10.33690
921.320,9.45441
928.204,10.42200
931.204,9.58399
936.335,10.50540
941.218,9.70830
944.470,10.58620
951.361,9.82789
952.608,10.65890
960.748,10.71600
961.629,9.94331
968.891,10.75000
972.017,10.05510
977.037,10.75330
982.524,10.16380
985.186,10.71830
993.145,10.27000
993.338,10.63750
1003.880,10.37420
1014.720,10.47680
1025.660,10.57750
1036.700,10.67530
1047.840,10.76900
1059.070,10.85780
1070.390,10.94050
1081.790,11.01620
1093.260,11.08390
1104.810,11.14370
1116.430,11.19600
1128.110,11.24140
1139.840,11.28060
1151.620,11.31390
1163.440,11.34210
1175.310,11.36560
1187.200,11.38500
1199.110,11.40090
1211.050,11.41350
1223.000,11.42290
1234.970,11.42920
1246.950,11.43250
1258.930,11.43290
1270.920,11.43050
1282.920,11.42530
1294.910,11.41760
1306.900,11.40730
1318.880,11.39460
1330.860,11.37960
1342.820,11.36240
1354.760,11.34300
1366.690,11.32150
1378.600,11.29810
1390.480,11.27280
1449.430,11.12200
1461.110,11.08760
1472.740,11.05200
1484.340,11.01510
1495.890,10.97720
1507.400,10.93830
1518.870,10.89840
1530.290,10.85770
1541.680,10.81610
1553.010,10.77380
1564.310,10.73080
1575.550,10.68720
1586.760,10.64300
1597.910,10.59850
1609.020,10.55350
1620.090,10.50820
1631.110,10.46260
1642.080,10.41690
1653.000,10.37100
1663.870,10.32510
1674.700,10.27930
1685.470,10.23350
1696.200,10.18790
1706.870,10.14250
1717.500,10.09740
1728.080,10.05250
1738.600,10.00790
1749.080,9.96359
1759.510,9.91949
1769.890,9.87564
1780.220,9.83203
1967.660,9.04694
1977.080,9.00775
1986.450,8.96875
1995.790,8.92995
2005.080,8.89134
2014.330,8.85292
2023.540,8.81469
2032.710,8.77665
2041.830,8.73878
2050.920,8.70111
2059.960,8.66361
2068.970,8.62632
2077.930,8.58923
2086.860,8.55236
2095.740,8.51572
2104.590,8.47932
2113.400,8.44317
2122.170,8.40728
2130.900,8.37166
2139.600,8.33632
2148.260,8.30128
2156.880,8.26653
2165.470,8.23210
2174.020,8.19800
2182.530,8.16422
2191.010,8.13079
2199.460,8.09771
2207.860,8.06500
2216.240,8.03267
2224.580,8.00072
2232.890,7.96916
2241.160,7.93802
2249.400,7.90728
2257.610,7.87694
2265.790,7.84695
2273.930,7.81727
2282.040,7.78785
2290.120,7.75866
2298.170,7.72966
2306.190,7.70079
2314.180,7.67203
2322.130,7.64333
2330.050,7.61464
2337.940,7.58593
2345.810,7.55715
2353.640,7.52827
2361.440,7.49924
2369.210,7.47001
2376.950,7.44055
2384.660,7.41082
2392.340,7.38077
2400.000,7.35037
2407.620,7.31957
2415.210,7.28832
2422.780,7.25659
2430.320,7.22434
2437.830,7.19152
2445.300,7.15810
